NAMES,PRICES,RATINGS,IMAGES
"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/j/d/-original-imahgy25zuwqzzye.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Lilac, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/s/8/-original-imahgy26fu3z2hez.jpeg?q=70
"IQOO Z10X 5G (Ultramarine, 128 GB)","₹13,190",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/u/8/z10x-5g-i2404-iqoo-original-imahbngms6vtzc9d.jpeg?q=70
"IQOO Z10X 5G (Titanium, 128 GB)","₹13,470",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/7/l/0/z10x-5g-i2404-iqoo-original-imahbngzhft7qyux.jpeg?q=70
"realme P4 Pro 5G (Birch Wood, 128 GB)","₹22,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/b/o/-original-imahfghxxmadhjm4.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Navy, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/7/s/-original-imahgy26hqbqjfgb.jpeg?q=70
"realme C61 (Marble Black, 64 GB)","₹5,549",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/v/z/-original-imah28xpzzwz4fwg.jpeg?q=70
"IQOO Z10R 5G (Moonstone, 256 GB)","₹20,463",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/x/b/z10r-5g-i2410-iqoo-original-imahehzhggkg3p5j.jpeg?q=70
"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)","₹9,948",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/e/j/z10-lite-5g-d2025a-iqoo-original-imahdgdjdvrhfy4r.jpeg?q=70
"realme C61 (Safari Green, 64 GB)","₹5,549",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/e/d/c61-rmx3933-realme-original-imah28xeqdygzshc.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/o/j/d/-original-imahgy25zuwqzzye.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹17,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/0/7/s/-original-imahgy26hqbqjfgb.jpeg?q=70
"POCO M7 5G (Mint Green, 128 GB)","₹9,499",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/w/0/-original-imah9wydggh9mtxt.jpeg?q=70
"Ai+ Pulse (Black, 64 GB)","₹4,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/4/b/p/-original-imahgzhpc8abrthu.jpeg?q=70
"IQOO Z10R 5G (Aquamarine, 256 GB)","₹20,900",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/x/k/r/z10r-5g-i2410-iqoo-original-imahehzhhxvc9xgw.jpeg?q=70
"IQOO Z10X 5G (Titanium, 128 GB)","₹14,405",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/u/a/s/z10x-5g-i2404-iqoo-original-imahbngjtvv57yhf.jpeg?q=70
"Samsung Galaxy A35 5G (Awesome Lilac, 256 GB)","₹19,999",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/2/s/8/-original-imahgy26fu3z2hez.jpeg?q=70
"REDMI Note 14 SE 5G (Crimson Art, 128 GB)","₹12,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/t/l/-original-imahg2z9zy2ea2py.jpeg?q=70
"IQOO Z10X 5G (Ultramarine, 256 GB)","₹16,599",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/s/u/8/z10x-5g-i2404-iqoo-original-imahbngms6vtzc9d.jpeg?q=70
"Ai+ Pulse (Blue, 64 GB)","₹4,999",4.3,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/z/h/v/-original-imahgzhp9vgvyfkg.jpeg?q=70
"POCO C71 (Cool Blue, 128 GB)","₹6,799",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/5/z/-original-imahawgarmg5f8ff.jpeg?q=70
"POCO C71 (Desert Gold, 64 GB)","₹6,199",3.9,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/q/m/u/-original-imahgbazejg7ry6m.jpeg?q=70
"POCO C75 5G (Enchanted Green, 64 GB)","₹7,299",4.2,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/v/f/-original-imahbr2cmpwexghw.jpeg?q=70
"POCO M7 5G (Mint Green, 128 GB)","₹8,499",4.1,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/w/0/-original-imah9wydggh9mtxt.jpeg?q=70
"vivo T4x 5G (Pronto Purple, 128 GB)","₹14,499",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/t/v/-original-imahavdv28z4nrkn.jpeg?q=70
"realme P3x 5G (Midnight Blue, 128 GB)","₹10,249",4.4,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/n/1/-original-imah9gtmya9qhqse.jpeg?q=70
